Country,Code,Year,Internet_Users_Percent,Region,IncomeGroup
Mozambique,MOZ,1990,0.0,Sub-Saharan Africa,Low income
Mauritania,MRT,1990,0.0,Sub-Saharan Africa,Lower middle income
Mauritius,MUS,1990,0.0,Sub-Saharan Africa,Upper middle income
Malawi,MWI,1990,0.0,Sub-Saharan Africa,Low income
Malaysia,MYS,1990,0.0,East Asia & Pacific,Upper middle income
Namibia,NAM,1990,0.0,Sub-Saharan Africa,Lower middle income
New Caledonia,NCL,1990,0.0,East Asia & Pacific,High income
Niger,NER,1990,0.0,Sub-Saharan Africa,Low income
Nigeria,NGA,1990,0.0,Sub-Saharan Africa,Lower middle income
Nicaragua,NIC,1990,0.0,Latin America & Caribbean,Lower middle income
Netherlands,NLD,1990,0.334,Europe & Central Asia,High income
Norway,NOR,1990,0.707,Europe & Central Asia,High income
Nepal,NPL,1990,0.0,South Asia,Lower middle income
Nauru,NRU,1990,0.0,East Asia & Pacific,High income
New Zealand,NZL,1990,0.0,East Asia & Pacific,High income
Oman,OMN,1990,0.0,Middle East & North Africa,High income
Pakistan,PAK,1990,0.0,Middle East & North Africa,Lower middle income
Panama,PAN,1990,0.0,Latin America & Caribbean,High income
Peru,PER,1990,0.0,Latin America & Caribbean,Upper middle income
Philippines,PHL,1990,0.0,East Asia & Pacific,Lower middle income
Palau,PLW,1990,0.0,East Asia & Pacific,High income
Papua New Guinea,PNG,1990,0.0,East Asia & Pacific,Lower middle income
Poland,POL,1990,0.0,Europe & Central Asia,High income
Puerto Rico (US),PRI,1990,0.0,Latin America & Caribbean,High income
"Korea, Dem. People's Rep.",PRK,1990,0.0,East Asia & Pacific,Low income
Portugal,PRT,1990,0.0,Europe & Central Asia,High income
Paraguay,PRY,1990,0.0,Latin America & Caribbean,Upper middle income
West Bank and Gaza,PSE,1990,0.0,Middle East & North Africa,Lower middle income
French Polynesia,PYF,1990,0.0,East Asia & Pacific,High income
Qatar,QAT,1990,0.0,Middle East & North Africa,High income
Romania,ROU,1990,0.0,Europe & Central Asia,High income
Russian Federation,RUS,1990,0.0,Europe & Central Asia,High income
Rwanda,RWA,1990,0.0,Sub-Saharan Africa,Low income
Saudi Arabia,SAU,1990,0.0,Middle East & North Africa,High income
Sudan,SDN,1990,0.0,Sub-Saharan Africa,Low income
Senegal,SEN,1990,0.0,Sub-Saharan Africa,Lower middle income
Singapore,SGP,1990,0.0,East Asia & Pacific,High income
Solomon Islands,SLB,1990,0.0,East Asia & Pacific,Lower middle income
Sierra Leone,SLE,1990,0.0,Sub-Saharan Africa,Low income
El Salvador,SLV,1990,0.0,Latin America & Caribbean,Upper middle income
San Marino,SMR,1990,0.0,Europe & Central Asia,High income
"Somalia, Fed. Rep.",SOM,1990,0.0,Sub-Saharan Africa,Low income
Sao Tome and Principe,STP,1990,0.0,Sub-Saharan Africa,Lower middle income
Suriname,SUR,1990,0.0,Latin America & Caribbean,Upper middle income
Slovak Republic,SVK,1990,0.0,Europe & Central Asia,High income
Slovenia,SVN,1990,0.0,Europe & Central Asia,High income
Sweden,SWE,1990,0.584,Europe & Central Asia,High income
Eswatini,SWZ,1990,0.0,Sub-Saharan Africa,Lower middle income
Seychelles,SYC,1990,0.0,Sub-Saharan Africa,High income
Syrian Arab Republic,SYR,1990,0.0,Middle East & North Africa,Low income
Turks and Caicos Islands,TCA,1990,0.0,Latin America & Caribbean,High income
Chad,TCD,1990,0.0,Sub-Saharan Africa,Low income
Togo,TGO,1990,0.0,Sub-Saharan Africa,Low income
Thailand,THA,1990,0.0,East Asia & Pacific,Upper middle income
Tajikistan,TJK,1990,0.0,Europe & Central Asia,Lower middle income
Turkmenistan,TKM,1990,0.0,Europe & Central Asia,Upper middle income
Timor-Leste,TLS,1990,0.0,East Asia & Pacific,Lower middle income
Tonga,TON,1990,0.0,East Asia & Pacific,Upper middle income
Trinidad and Tobago,TTO,1990,0.0,Latin America & Caribbean,High income
Tunisia,TUN,1990,0.0,Middle East & North Africa,Lower middle income
Turkiye,TUR,1990,0.0,Europe & Central Asia,Upper middle income
Tuvalu,TUV,1990,0.0,East Asia & Pacific,Upper middle income
Tanzania,TZA,1990,0.0,Sub-Saharan Africa,Lower middle income
Uganda,UGA,1990,0.0,Sub-Saharan Africa,Low income
Ukraine,UKR,1990,0.0,Europe & Central Asia,Upper middle income
Uruguay,URY,1990,0.0,Latin America & Caribbean,High income
United States,USA,1990,0.785,North America,High income
Uzbekistan,UZB,1990,0.0,Europe & Central Asia,Lower middle income
St. Vincent and the Grenadines,VCT,1990,0.0,Latin America & Caribbean,Upper middle income
"Venezuela, RB",VEN,1990,0.0,Latin America & Caribbean,
British Virgin Islands,VGB,1990,0.0,Latin America & Caribbean,High income
Virgin Islands (U.S.),VIR,1990,0.0,Latin America & Caribbean,High income
Viet Nam,VNM,1990,0.0,East Asia & Pacific,Lower middle income
Vanuatu,VUT,1990,0.0,East Asia & Pacific,Lower middle income
Samoa,WSM,1990,0.0,East Asia & Pacific,Upper middle income
"Yemen, Rep.",YEM,1990,0.0,Middle East & North Africa,Low income
South Africa,ZAF,1990,0.0,Sub-Saharan Africa,Upper middle income
Zambia,ZMB,1990,0.0,Sub-Saharan Africa,Lower middle income
Zimbabwe,ZWE,1990,0.0,Sub-Saharan Africa,Lower middle income
Australia,AUS,1991,1.1,East Asia & Pacific,High income
Austria,AUT,1991,0.259,Europe & Central Asia,High income
Burundi,BDI,1991,0.0,Sub-Saharan Africa,Low income
Belgium,BEL,1991,0.0201,Europe & Central Asia,High income
Brazil,BRA,1991,0.00329,Latin America & Caribbean,Upper middle income
Botswana,BWA,1991,0.0,Sub-Saharan Africa,Upper middle income
Canada,CAN,1991,0.57,North America,High income
Switzerland,CHE,1991,1.18,Europe & Central Asia,High income
Germany,DEU,1991,0.25,Europe & Central Asia,High income
Denmark,DNK,1991,0.194,Europe & Central Asia,High income
Spain,ESP,1991,0.0257,Europe & Central Asia,High income
Finland,FIN,1991,1.4,Europe & Central Asia,High income
France,FRA,1991,0.14,Europe & Central Asia,High income
United Kingdom,GBR,1991,0.174,Europe & Central Asia,High income
Greece,GRC,1991,0.0488,Europe & Central Asia,High income
Grenada,GRD,1991,0.0,Latin America & Caribbean,Upper middle income
"Hong Kong SAR, China",HKG,1991,0.121,East Asia & Pacific,High income
Hungary,HUN,1991,0.00338,Europe & Central Asia,High income
Ireland,IRL,1991,0.0568,Europe & Central Asia,High income
Iceland,ISL,1991,0.505,Europe & Central Asia,High income
Israel,ISR,1991,0.215,Middle East & North Africa,High income
Italy,ITA,1991,0.0351,Europe & Central Asia,High income
Japan,JPN,1991,0.0404,East Asia & Pacific,High income
"Korea, Rep.",KOR,1991,0.0461,East Asia & Pacific,High income
Maldives,MDV,1991,0.0,South Asia,Upper middle income
